scenario,low_tide_prob,high_tide_prob,model
mean,0.6,20.2,current
ss 1m,1.5,30.8,current
ss 2m,3.3,43.4,current
ss 3m,6.7,56.6,current
mean,0.7,21.9,low estimate
ss 1m,1.7,33,low estimate
ss 2m,3.8,45.7,low estimate
ss 3m,7.5,58.9,low estimate
mean,0.9,24.7,medium estimate
ss 1m,2.2,36.2,medium estimate
ss 2m,4.6,49.4,medium estimate
ss 3m,8.8,62.4,medium estimate
mean,1.2,28.4,high estimate
ss 1m,2.8,40.6,high estimate
ss 2m,5.8,53.8,high estimate
ss 3m,10.8,66.6,high estimate
